State,Type,County,Violent.crime,Murder.and.nonnegligent.manslaughter,Rape..revised.definition.1,Rape..legacy.definition.2,Robbery,Aggravated.assault,Property.crime,Burglary,Larceny..theft,Motor.vehicle.theft,Arson3,Loc,lat,long
Alabama,Metropolitan Counties,Autauga,73,1,12,NA,8,52,429,146,233,50,NA,"Autauga, Alabama",32.5791817,-86.49965460000001
Alabama,Metropolitan Counties,Baldwin,127,1,5,NA,23,98,613,229,342,42,NA,"Baldwin, Alabama",30.6010744,-87.77633329999999
Alabama,Metropolitan Counties,Bibb,0,0,0,NA,0,0,37,20,14,3,NA,"Bibb, Alabama",32.9562798,-87.14228949999999
Alabama,Metropolitan Counties,Blount,394,1,17,NA,9,367,867,261,501,105,NA,"Blount, Alabama",34.0145152,-86.49965460000001
Alabama,Metropolitan Counties,Calhoun,23,0,7,NA,5,11,319,137,181,1,NA,"Calhoun, Alabama",33.7701576,-85.80766
Alabama,Metropolitan Counties,Chilton,151,0,10,NA,3,138,592,247,295,50,NA,"Chilton, Alabama",32.944392,-86.6611083
Alabama,Metropolitan Counties,Elmore,88,4,22,NA,7,55,677,223,408,46,NA,"Elmore, Alabama",32.5387448,-86.3149712
Alabama,Metropolitan Counties,Etowah,135,1,20,NA,7,107,480,149,255,76,NA,"Etowah, Alabama",34.0455341,-86.05296039999999
Alabama,Metropolitan Counties,Geneva,46,1,9,NA,2,34,205,71,106,28,NA,"Geneva, Alabama",31.0329572,-85.8638242
Alabama,Metropolitan Counties,Hale,33,0,2,NA,2,29,139,73,55,11,NA,"Hale, Alabama",32.785910199999996,-87.6186379
